#buffsize real user sys
16 30.39 3.83 25.54
32 15.35 2.12 13.21
64 7.35 0.84 6.50
128 3.67 0.46 3.20
256 1.89 0.24 1.64
512 0.98 0.18 0.78
1024 0.55 0.07 0.45
2048 0.34 0.04 0.29
4096 0.29 0.02 0.26
8192 0.24 0.00 0.23
16384 0.22 0.02 0.20
32768 0.21 0.00 0.19
65536 0.19 0.00 0.19
131072 0.19 0.00 0.18
262144 0.19 0.00 0.19
524288 0.25 0.00 0.23
1048576 0.31 0.00 0.27
2097152 0.30 0.00 0.27
4194304 0.28 0.00 0.27
8388608 0.31 0.00 0.27
