#buffsize real user sys
16 1.87 0.18 1.68
32 0.95 0.08 0.86
64 0.46 0.04 0.41
128 0.24 0.02 0.22
256 0.12 0.00 0.11
512 0.06 0.00 0.06
1024 0.03 0.01 0.02
2048 0.02 0.00 0.02
4096 0.01 0.00 0.01
8192 0.01 0.00 0.01
16384 0.01 0.00 0.01
32768 0.01 0.00 0.01
65536 0.01 0.00 0.00
131072 0.01 0.00 0.00
262144 0.01 0.00 0.00
524288 0.01 0.00 0.00
1048576 0.01 0.00 0.01
2097152 0.02 0.00 0.02
4194304 0.02 0.00 0.02
8388608 0.02 0.00 0.02
